rank	target_slug	edge_count	in_count	is_title	is_date	example_source	example_edge_type	example_target_text
45	conflict-beyond-the-wall	6	2	0	0	attack-on-castle-black	FIGHTS_IN	Conflict beyond the Wall
46	great-hall	3	2	0	0	aerys-ii-targaryen	DIED_AT	Great Hall (track_b: Died)
47	daemon-blackfyre	1	2	0	0	house-blackfyre	FOUNDED	Daemon Blackfyre
48	kingdom-of-the-three-daughters	1	2	0	0	racallio-ryndoon	SWORN_TO	Kingdom of the Three Daughters
49	sarnori	1	2	0	0	mazor-alexi	CULTURE_OF	Sarnori
50	lannister	15	1	0	0	battle-at-the-mummers-ford	DEFEATS	Lannister
51	cerelle-lannister	6	1	0	0	gerold-lannister	SUCCEEDS	Cerelle Lannister
52	2-bc	3	1	0	1	house-baratheon	OVERLORD_OF	2 BC (track_b: Overlords)
53	thenn	3	1	0	0	sigorn	BORN_AT	Thenn
54	aegon-ii	1	1	0	0	dance-of-the-dragons	DEFEATS	Aegon II
55	aegon-iii	1	1	0	0	dance-of-the-dragons	DEFEATS	Aegon III
56	aegon-vi-targaryen	1	1	0	0	varys	SWORN_TO	Aegon VI Targaryen
57	blackfyre-rebellions	1	1	0	0	second-blackfyre-rebellion	FIGHTS_IN	Blackfyre Rebellions
58	house-farwynd	1	1	0	0	triston-farwynd	SWORN_TO	House Farwynd
59	joffrey-lydden	1	1	0	0	gerold-iii-lannister	SUCCEEDS	Joffrey Lydden
60	lord-caswell	1	1	0	0	lady-caswell	SPOUSE_OF	Lord Caswell
61	lord-commander	1	1	0	0	mutiny-at-castle-black	DEFEATS	Lord Commander
62	rhaenyra	1	1	0	0	dance-of-the-dragons	DEFEATS	Rhaenyra
63	sea-watch	1	1	0	0	tristimun	MEMBER_OF	Sea watch
64	unknown	321	0	0	0	addam-hightower	SPOUSE_OF	Unknown
65	the-citadel	83	0	0	0	abelon	SWORN_TO	The Citadel
66	extinct	37	0	0	0	house-amber	RULES	Extinct
67	son	31	0	0	0	alyn-tarbeck	PARENT_OF	Son
68	none	29	0	0	0	aerys-i-targaryen	PARENT_OF	None
69	sons	27	0	0	0	antario-jast	PARENT_OF	Sons
70	daughter	26	0	0	0	alysane-mormont	PARENT_OF	Daughter
71	captain	20	0	1	0	alvyn-sharp	HOLDS_TITLE	Captain
72	commander	13	0	0	0	bedwyck	HOLDS_TITLE	Commander
73	daughters	8	0	0	0	choq-choq	PARENT_OF	Daughters
74	two-daughters	8	0	0	0	corwyn-corbray	PARENT_OF	Two daughters
75	unborn-child	8	0	0	0	alyce-graceford	PARENT_OF	Unborn child
76	gate	7	0	0	0	big-brusco	SWORN_TO	Gate
77	deceased-husband	6	0	0	0	anya-waynwood	SPOUSE_OF	Deceased husband
78	deceased-wife	6	0	0	0	mors-umber	SPOUSE_OF	Deceased wife
79	golden-company-victory	6	0	0	0	fall-of-mistwood	DEFEATS	Golden Company victory
80	lord-marshal-of-the-mander	6	0	0	0	desmond-manderly	HOLDS_TITLE	Lord Marshal of the Mander
81	red-keep-kings-landing	6	0	0	0	aemon-targaryen-son-of-viserys-ii	BORN_AT	Red Keep, King's Landing
82	the-reach	6	0	0	0	house-ambrose	REGION_OF	The Reach
83	a-son	5	0	0	0	davos-dayne	PARENT_OF	A son
84	at-least-one-son	5	0	0	0	arlan-i-durrandon	PARENT_OF	At least one son
85	brother	5	0	0	0	clement	HOLDS_TITLE	Brother
86	father-is-oberyn-martell	5	0	0	0	nymeria-sand	PARENT_OF	(reverse) Father is Oberyn Martell
87	iron-throne-victory	5	0	0	0	burning-of-the-sept-of-remembrance	DEFEATS	Iron Throne victory
88	three-sons	5	0	0	0	ambrose-butterwell	PARENT_OF	Three sons
89	three-wives	5	0	0	0	horton-redfort	SPOUSE_OF	Three wives
90	1-unknown	4	0	0	0	cregan-karstark	SPOUSE_OF	1: Unknown
91	durrandon	4	0	0	0	battle-by-the-bloody-pool	DEFEATS	Durrandon
92	goodman	4	0	0	0	beck	HOLDS_TITLE	Goodman
93	khal-drogos-khalasar	4	0	0	0	doreah	SWORN_TO	Khal Drogo's khalasar
94	2-unknown	3	0	0	0	cregan-karstark	SPOUSE_OF	2: Unknown
95	300-ac-meereen	3	0	0	0	loyal-spear	DIED_AT	300 AC, Meereen
96	a-daughter	3	0	0	0	gerold-iii-lannister	HEIR_TO	A daughter
97	admiral	3	0	0	0	alyn-velaryon	HOLDS_TITLE	Admiral
98	at-least-four-sons	3	0	0	0	agnes-blackwood	PARENT_OF	At least four sons
99	balon-ix-greyjoy	3	0	0	0	euron-greyjoy	SUCCEEDS	Balon IX Greyjoy
100	bolton	3	0	0	0	battle-outside-the-gates-of-winterfell	DEFEATS	Bolton
101	cerwyn	3	0	0	0	cley-cerwyn	BORN_AT	Cerwyn (track_b: Born)
102	euron-iii-greyjoy	3	0	0	0	balon-greyjoy	SUCCEEDS	Euron III Greyjoy (track_b: Successor)
103	four-wives	3	0	0	0	jasper-wylde	SPOUSE_OF	Four wives
104	healing	3	0	0	0	ebrose	HOLDS_TITLE	healing
105	house-baratheon-of-storms-end	3	0	0	0	holy-hundred	SWORN_TO	House Baratheon of Storm's End (track_b: Allegiance)
106	house-tyrell-of-highgarden	3	0	0	0	garlan-tyrell	SWORN_TO	House Tyrell of Highgarden
107	issue	3	0	0	0	garth-the-gardener	PARENT_OF	Issue
108	lady-stonetree	3	0	0	0	harlon-greyjoy	PARENT_OF	Lady Stonetree
109	meereen-300-ac	3	0	0	0	eladon-goldenhair	DIED_AT	Meereen, 300 AC
110	northern-victory	3	0	0	0	battle-at-long-lake	DEFEATS	Northern victory
111	partial-destruction-of-town	3	0	0	0	first-sack-of-maidenpool	DEFEATS	partial destruction of town
112	royal-victory	3	0	0	0	attack-on-old-wyk	DEFEATS	Royal victory
113	two-sons	3	0	0	0	quenton-qoherys	PARENT_OF	Two sons
114	winterfell-299-ac	3	0	0	0	squint	DIED_AT	Winterfell, 299 AC
115	3-sons	2	0	0	0	boremund-harlaw	PARENT_OF	3 sons
116	a-woods-witch	2	0	0	0	harlon-the-hunter	SPOUSE_OF	A woods witch
117	at-least-one-child	2	0	0	0	fern	PARENT_OF	At least one child
118	at-least-one-son-or-daughter	2	0	0	0	duncan-the-tall	PARENT_OF	At least one son or daughter
119	baratheon	2	0	0	0	assault-on-dragonstone	DEFEATS	Baratheon
120	bastard-son	2	0	0	0	hizdahr-zo-loraq	PARENT_OF	Bastard son
121	child	2	0	0	0	osric-umber	PARENT_OF	Child (track_b: Issue)
122	commander-of-the-stalwart-shields	2	0	0	0	mollono-yos-dob	HOLDS_TITLE	Commander of the Stalwart Shields
123	deceased	2	0	0	0	albar-royce	PARENT_OF	Deceased
124	eldest-daughter	2	0	0	0	gerrick-kingsblood	PARENT_OF	Eldest daughter
125	faith-of-rhllor	2	0	0	0	melisandre	SWORN_TO	Faith of R'hllor
126	father-is-doran-martell	2	0	0	0	quentyn-martell	PARENT_OF	(reverse) Father is Doran Martell
127	four-daughters	2	0	0	0	mors-martell	PARENT_OF	Four daughters
128	four-sons	2	0	0	0	shella-whent	PARENT_OF	Four sons
129	greyjoy-victory	2	0	0	0	burning-of-the-lannister-fleet	DEFEATS	Greyjoy victory
130	gwayne-gardener	2	0	0	0	perceon-iii-gardener	SUCCEEDS	Gwayne Gardener
131	hogg-victory	2	0	0	0	burning-of-sows-horn	DEFEATS	Hogg victory
132	house-bolton-of-the-dreadfort	2	0	0	0	ramsay-snow	SWORN_TO	House Bolton of the Dreadfort
133	house-lannister-of-casterly-rock	2	0	0	0	lancel-lannister	SWORN_TO	House Lannister of Casterly Rock
134	house-pendaerys	2	0	0	0	pereno-pendaerys	SWORN_TO	House Pendaerys
135	in-or-before-281-ac	2	0	0	0	armond-connington	DIED_AT	In or before 281 AC (track_b: Died)
136	ironrath	2	0	0	0	house-forrester-telltale	SEAT_OF	Ironrath
137	jhaqos-khalasar	2	0	0	0	jhaqo	SWORN_TO	Jhaqo's khalasar
138	jonoss-first-wife	2	0	0	0	barbara-bracken	PARENT_OF	Jonos's first wife
139	kevan-lannister-martyn-lannister	2	0	0	0	kevan-lannister	PARENT_OF	Kevan Lannister → Martyn Lannister
140	khal-ogos-khalasar	2	0	0	0	fogo	SWORN_TO	Khal Ogo's khalasar
141	kings-landing-73-ac	2	0	0	0	gaemon-targaryen-son-of-jaehaerys-i	BORN_AT	King's Landing, 73 AC
142	lady-piper	2	0	0	0	quellon-greyjoy	SPOUSE_OF	Lady Piper
143	lady-regent	2	0	0	0	elenda-baratheon	HOLDS_TITLE	Lady Regent
144	lord-darry	2	0	0	0	raymun-darry	PARENT_OF	Lord Darry
145	lord-of-wyl	2	0	1	0	walter-wyl	HOLDS_TITLE	Lord of Wyl
146	loyalist-victory	2	0	0	0	battle-of-the-redgrass-field	DEFEATS	Loyalist victory
147	maester-at-sunspear	2	0	0	0	caleotte	HOLDS_TITLE	Maester at Sunspear
148	mother-is-mellario-of-norvos	2	0	0	0	quentyn-martell	PARENT_OF	(reverse) Mother is Mellario of Norvos
149	mother-was-the-princess-of-dorne	2	0	0	0	mors-martell-brother-of-doran	PARENT_OF	(reverse) Mother was the Princess of Dorne
150	northern	2	0	0	0	battle-of-the-weeping-water	DEFEATS	Northern
151	one-daughter	2	0	0	0	bethany-redwyne	PARENT_OF	One daughter
152	queen-consort	2	0	0	0	aelinor-penrose	HOLDS_TITLE	Queen consort
153	rebel-victory	2	0	0	0	battle-of-the-bells	DEFEATS	rebel victory
154	rickon-stark-sansa-stark	2	0	0	0	rickon-stark-son-of-cregan	PARENT_OF	Rickon Stark → Sansa Stark
155	rickon-stark-serena-stark	2	0	0	0	rickon-stark-son-of-cregan	PARENT_OF	Rickon Stark → Serena Stark
156	see-below	2	0	0	0	battle-of-the-blackwater	DEFEATS	See below
157	ser-drinkwater	2	0	0	0	drinkwater-twins	PARENT_OF	Ser Drinkwater
158	serena-stark-torrhen-stark	2	0	0	0	serena-stark	PARENT_OF	Serena Stark → Torrhen Stark
159	six-daughters	2	0	0	0	garmund-hightower	PARENT_OF	Six daughters
160	six-sons	2	0	0	0	hubert-arryn	PARENT_OF	Six sons
161	sixteen-children	2	0	0	0	lucamore-strong	PARENT_OF	Sixteen children
162	sovereign	2	0	0	0	house-greyjoy	OVERLORD_OF	sovereign (track_b: Overlord)
163	stillborn-daughter	2	0	0	0	jeyne-royce	PARENT_OF	Stillborn daughter
164	tomard-tomtoo	2	0	0	0	tomard	PARENT_OF	Tomard → TomToo
165	twelve-children	2	0	0	0	gareth-clifton	PARENT_OF	Twelve children
166	uncertain	2	0	0	0	hugh-hammer	CULTURE_OF	Uncertain (track_b: Race)
167	understeward	2	0	0	0	mebble	HOLDS_TITLE	Understeward
168	unknown-wife	2	0	0	0	quort	SPOUSE_OF	Unknown wife
169	unnamed-wife	2	0	0	0	mathos-mallarawan	SPOUSE_OF	Unnamed wife
170	westermen-victory	2	0	0	0	battle-at-kayce	DEFEATS	Westermen victory
171	willam-stark-brandon-stark	2	0	0	0	brandon-stark-son-of-willam	PARENT_OF	Willam Stark → Brandon Stark
172	willam-stark-edwyle-stark	2	0	0	0	edwyle-stark	PARENT_OF	Willam Stark → Edwyle Stark
173	wives	2	0	0	0	salladhor-saan	SPOUSE_OF	Wives
174	1-son-of-disputed-paternity	1	0	0	0	sharis-footly	PARENT_OF	1 son of disputed paternity
175	101-ac-102-ac-or-103-ac	1	0	0	0	yorbert-royce	DIED_AT	101 AC, 102 AC or 103 AC (track_b: Died)
176	102-68-bc-dragonstone	1	0	0	0	maegon-targaryen	BORN_AT	102-68 BC, Dragonstone
177	12-ac-kings-landing	1	0	0	0	lyonce	DIED_AT	12 AC, King's Landing
178	127-ac-kings-landing	1	0	0	0	maelor-targaryen	BORN_AT	127 AC, King's Landing
179	130-ac-bitterbridge	1	0	0	0	maelor-targaryen	DIED_AT	130 AC, Bitterbridge
180	138-ac-kings-landing	1	0	0	0	naerys-targaryen	BORN_AT	138 AC, King's Landing
181	14-other-wives	1	0	0	0	craster	SPOUSE_OF	14 other wives
182	156-ac-or-later	1	0	0	0	bethany-bracken	BORN_AT	156 AC or later (track_b: Born)
183	175-ac-176-ac-or-177-ac	1	0	0	0	kaeth	BORN_AT	175 AC, 176 AC or 177 AC (track_b: Born)
184	179-184-ac-kings-landing	1	0	0	0	naerys-targaryen	DIED_AT	179-184 AC, King's Landing
185	183-209-ac-westeros	1	0	0	0	matarys-targaryen	BORN_AT	183-209 AC, Westeros
186	2-a-daughter-of-king-osgood	1	0	0	0	gerold-grafton-king	SPOUSE_OF	2: A daughter of King Osgood
187	2-sons	1	0	0	0	ynys-yronwood	PARENT_OF	2 sons
188	209-ac-kings-landing	1	0	0	0	matarys-targaryen	DIED_AT	209 AC, King's Landing
189	22-wives	1	0	0	0	ronard-storm	SPOUSE_OF	22 wives
190	259-ac-westeros	1	0	0	0	lemore	BORN_AT	~259 AC, Westeros
191	281-283-ac-dothraki-sea	1	0	0	0	jhogo	BORN_AT	281-283 AC, Dothraki sea
192	281-ac-282-ac-or-283-ac	1	0	0	0	penny	BORN_AT	281 AC, 282 AC or 283 AC (track_b: Born)
193	282-ac-283-ac-or-284-ac	1	0	0	0	bethany-rosby	DIED_AT	282 AC, 283 AC or 284 AC (track_b: Died)
194	282-ac-ashford	1	0	0	0	quentin-tyrell	DIED_AT	282 AC, Ashford
195	282-ac-highgarden	1	0	0	0	loras-tyrell	BORN_AT	282 AC, Highgarden
196	283	1	0	0	1	house-baratheon	OVERLORD_OF	283 (track_b: Overlords)
197	284-ac-dothraki-sea	1	0	0	0	jhiqui	BORN_AT	284 AC, Dothraki Sea
198	288-289-ac-naath	1	0	0	0	missandei	BORN_AT	288-289 AC, Naath
199	3-unknown	1	0	0	0	lyonel-strong	SPOUSE_OF	3: Unknown
200	41-ac-kings-landing	1	0	0	0	murmison	DIED_AT	41 AC, King's Landing
201	42-ac-kings-landing	1	0	0	0	myros	DIED_AT	42 AC, King's Landing
202	5-ac-dornish-desert-east-of-the-hellholt	1	0	0	0	harlan-tyrell	DIED_AT	5 AC, Dornish desert east of the Hellholt
203	5-unknown-number-of-new-unsullied	1	0	0	0	targaryen-campaign-in-slavers-bay	DEFEATS	5. Unknown number of new Unsullied
204	54-ac-dragonstone	1	0	0	0	maryam	DIED_AT	54 AC, Dragonstone
205	59-ac-near-highgarden	1	0	0	0	bertrand-tyrell	DIED_AT	59 AC, near Highgarden
206	6-children	1	0	0	0	lyonel-hightower	PARENT_OF	6 children
207	7-day-of-the-7-moon-of-74-ac	1	0	0	0	rhaenys-targaryen-daughter-of-aemon	BORN_AT	7 day of the 7 moon of 74 AC (track_b: Born)
208	99-sons	1	0	0	0	ronard-storm	PARENT_OF	99 sons
209	a-baker	1	0	0	0	hot-pie	PARENT_OF	A baker
210	a-butcher	1	0	0	0	mycah	PARENT_OF	A butcher
211	a-carpenter	1	0	0	0	marya-seaworth	PARENT_OF	A carpenter
212	a-child	1	0	0	0	gerold-grafton-king	PARENT_OF	A child
213	a-great-grandson	1	0	0	0	garth-vii-gardener	SUCCEEDS	A great-grandson
214	a-hedge-knight	1	0	0	0	house-baelish	FOUNDED	A hedge knight
215	a-hundred-sons	1	0	0	0	grey-king	PARENT_OF	A hundred sons
216	a-merchants-daughter	1	0	0	0	lyonel-corbray	SPOUSE_OF	A merchant's daughter
217	a-shipwright	1	0	0	0	marilda-of-hull	PARENT_OF	A shipwright
218	a-single-daughter	1	0	0	0	gerold-iii-lannister	PARENT_OF	A single daughter
219	a-wisewoman	1	0	0	0	wisewomans-daughter	PARENT_OF	A wisewoman
220	acting-lady-of-the-gates-of-the-moon	1	0	0	0	myranda-royce	HOLDS_TITLE	Acting Lady of the Gates of the Moon
221	aegon-i-targaryen-as-hand-of-the-king	1	0	0	0	edmyn-tully	SERVES	Aegon I Targaryen (wiki:Edmyn_Tully) — as Hand of the King
222	aegon-ii-targaryen-is-parent	1	0	0	0	maelor-targaryen	PARENT_OF	Aegon II Targaryen is parent
223	aegon-targaryen-is-parent	1	0	0	0	maegon-targaryen	PARENT_OF	Aegon Targaryen is parent
224	aenar-targaryen-is-parent	1	0	0	0	gaemon-targaryen-son-of-aenar	PARENT_OF	Aenar Targaryen is parent
225	aenys-i-targaryen-vaella	1	0	0	0	vaella-targaryen-daughter-of-aenys-i	PARENT_OF	Aenys I Targaryen → Vaella
226	aenys-i-targaryen-viserys	1	0	0	0	viserys-targaryen-son-of-aenys-i	PARENT_OF	Aenys I Targaryen → Viserys
227	aerion-targaryen-visenya	1	0	0	0	visenya-targaryen	PARENT_OF	Aerion Targaryen → Visenya
228	aerys-ii-targaryen-viserys	1	0	0	0	viserys-targaryen	PARENT_OF	Aerys II Targaryen → Viserys
229	after-198-ac	1	0	0	0	walgrave	BORN_AT	After 198 AC (track_b: Born)
230	alannys-harlaw-asha-greyjoy	1	0	0	0	asha-greyjoy	PARENT_OF	Alannys Harlaw → Asha Greyjoy
231	alannys-harlaw-is-parent-of-theon	1	0	0	0	theon-greyjoy	PARENT_OF	Alannys Harlaw is parent of Theon
232	alaric-stark-edric-stark	1	0	0	0	edric-stark	PARENT_OF	Alaric Stark → Edric Stark
233	alayne-stone-sansa-stark	1	0	0	0	sansa-stark	ALIAS_OF	Alayne Stone → Sansa Stark
234	aliandra-martell-coryanne-martell	1	0	0	0	qyle-martell	SIBLING_OF	Aliandra Martell, Coryanne Martell
235	alyn-velaryon-qualifier-rumored	1	0	0	0	aliandra-martell	LOVER_OF	Alyn Velaryon (cite: track_b: Lover) — qualifier: rumored
236	alys-karstark-rodwell-stark	1	0	0	0	rodwell-stark	PARENT_OF	Alys Karstark → Rodwell Stark
237	alys-stackspear-damon-reverse	1	0	0	0	damon-lannister-son-of-jason	PARENT_OF	Alys Stackspear → Damon (cite: track_b: Mother) — reverse
238	alysanne-blackwood-raya-stark	1	0	0	0	raya-stark	PARENT_OF	Alysanne Blackwood → Raya Stark
239	alysanne-blackwood-sarra-stark	1	0	0	0	sarra-stark	PARENT_OF	Alysanne Blackwood → Sarra Stark
240	alysanne-targaryen-is-parent	1	0	0	0	gaemon-targaryen-son-of-jaehaerys-i	PARENT_OF	Alysanne Targaryen is parent
241	alysanne-targaryen-vaegon	1	0	0	0	vaegon-targaryen	PARENT_OF	Alysanne Targaryen → Vaegon
242	alysanne-targaryen-valerion	1	0	0	0	valerion-targaryen	PARENT_OF	Alysanne Targaryen → Valerion
243	alysanne-targaryen-viserra	1	0	0	0	viserra-targaryen	PARENT_OF	Alysanne Targaryen → Viserra
244	alyssa-velaryon-vaella	1	0	0	0	vaella-targaryen-daughter-of-aenys-i	PARENT_OF	Alyssa Velaryon → Vaella
245	alyssa-velaryon-viserys	1	0	0	0	viserys-targaryen-son-of-aenys-i	PARENT_OF	Alyssa Velaryon → Viserys
246	ambush-at-the-wendwater	1	0	0	0	faith-militant-uprising	FIGHTS_IN	Ambush at the Wendwater
247	an-unknown-date	1	0	0	0	qhored-i-hoare	DIED_AT	an unknown date (track_b: Died)
248	and-the-trident	1	0	0	0	warden-of-the-southern-marches	REGION_OF	and the Trident
249	annihilation-of-entire-lorathi-andal-population	1	0	0	0	scouring-of-lorath	DEFEATS	Annihilation of entire Lorathi Andal population
250	archons	1	0	0	0	valyrian-freehold	RULES	Archons
251	arianne-martell-quentyn-martell	1	0	0	0	trystane-martell	SIBLING_OF	Arianne Martell, Quentyn Martell
252	arianne-martell-trystane-martell	1	0	0	0	quentyn-martell	SIBLING_OF	Arianne Martell, Trystane Martell
253	arlan-of-pennytree-described-as-a-hedge-knight-who-trained-duncan-died-on-the-road-to-ashford-in-209-ac	1	0	0	0	hedge-knight	HOLDS_TITLE	Arlan of Pennytree — described as a hedge knight who trained Duncan; died on the road to Ashford in 209 AC (source: `graph/nodes/characters/duncan-the-tall.node.md`)
254	arra-norrey-rickon-stark	1	0	0	0	rickon-stark-son-of-cregan	PARENT_OF	Arra Norrey → Rickon Stark
255	arryn	1	0	0	0	jeyne-arryn	PARENT_OF	Arryn
256	arya-stark-nymeria-infobox-owner	1	0	0	0	nymeria-direwolf	OWNS	Arya Stark → Nymeria (wiki:Nymeria_(direwolf) infobox: Owner)
257	asher-forrester	1	0	0	0	house-forrester-telltale	RULES	Asher Forrester
258	astapor-sacked-and-burned	1	0	0	0	siege-of-astapor	DEFEATS	Astapor sacked and burned
259	at-least-a-daughter	1	0	0	0	jon-brightstone	PARENT_OF	At least a daughter
260	at-least-five-sons	1	0	0	0	loreon-i-lannister	PARENT_OF	At least five sons
261	at-least-four-wives	1	0	0	0	cleon	SPOUSE_OF	At least four wives
262	at-least-one-more-child	1	0	0	0	theomore-harlaw	PARENT_OF	At least one more child
263	at-least-three-sons	1	0	0	0	artys-i-arryn	PARENT_OF	At least three sons
264	at-least-two-daughters	1	0	0	0	godric-borrell	PARENT_OF	At least two daughters
265	baelish-petyr-baelishs-grandfather-founded-house-baelish	1	0	0	0	hedge-knight	HOLDS_TITLE	Baelish (hedge knight) — Petyr Baelish's grandfather; founded House Baelish (source: `graph/nodes/characters/petyr-baelish.node.md`, `graph/nodes/characters/baelish-hedge-knight.node.md`)
266	baelon-targaryen-aemma-arryn	1	0	0	0	baelon-targaryen-son-of-viserys-i	PARENT_OF	Baelon Targaryen ← Aemma Arryn
267	baelon-targaryen-aerys-targaryen	1	0	0	0	baelon-targaryen-son-of-aerys	PARENT_OF	Baelon Targaryen ← Aerys Targaryen
268	baelon-targaryen-alysanne-targaryen	1	0	0	0	baelon-targaryen-son-of-jaehaerys-i	PARENT_OF	Baelon Targaryen ← Alysanne Targaryen
269	baelon-targaryen-jaehaerys-i-targaryen	1	0	0	0	baelon-targaryen-son-of-jaehaerys-i	PARENT_OF	Baelon Targaryen ← Jaehaerys I Targaryen
270	baelon-targaryen-viserys-i-targaryen	1	0	0	0	baelon-targaryen-son-of-viserys-i	PARENT_OF	Baelon Targaryen ← Viserys I Targaryen
271	baelor-i-targaryen-dissolved	1	0	0	0	daena-targaryen	SPOUSE_OF	Baelor I Targaryen (track_b: Spouse) — dissolved
272	baelor-targaryen-daeron-ii-targaryen	1	0	0	0	baelor-targaryen-son-of-daeron-ii	PARENT_OF	Baelor Targaryen ← Daeron II Targaryen
273	baelor-targaryen-is-parent	1	0	0	0	matarys-targaryen	PARENT_OF	Baelor Targaryen is parent
274	baelor-targaryen-myriah-martell	1	0	0	0	baelor-targaryen-son-of-daeron-ii	PARENT_OF	Baelor Targaryen ← Myriah Martell
275	baelor-targaryen-valarr	1	0	0	0	valarr-targaryen	PARENT_OF	Baelor Targaryen → Valarr
276	balon-greyjoy-asha-greyjoy	1	0	0	0	asha-greyjoy	PARENT_OF	Balon Greyjoy → Asha Greyjoy
277	balon-greyjoy-is-parent-of-theon	1	0	0	0	theon-greyjoy	PARENT_OF	Balon Greyjoy is parent of Theon
278	baratheon-dynasty	1	0	0	0	roberts-rebellion	DEFEATS	Baratheon dynasty
279	baratheon-of-kings-landing	1	0	0	0	greyjoys-rebellion	DEFEATS	Baratheon of King's Landing
280	bastard-daughter	1	0	0	0	hizdahr-zo-loraq	PARENT_OF	Bastard daughter
281	bastard-in-kings-landing	1	0	0	0	braxton-beesbury	PARENT_OF	Bastard in King's Landing
282	bastard-in-the-reach	1	0	0	0	braxton-beesbury	PARENT_OF	Bastard in the Reach
283	battle-at-stonehelm	1	0	0	0	second-dornish-war	FIGHTS_IN	Battle at Stonehelm
284	battle-of-oxcross-aftermath	1	0	0	0	daven-lannister	FIGHTS_IN	Battle of Oxcross (cite: wiki:Daven_Lannister) — aftermath
285	bayonne-new-jersey	1	0	0	0	george-r-r-martin	BORN_AT	Bayonne, New Jersey
286	belaerys-family	1	0	0	0	jaenara-belaerys	SWORN_TO	Belaerys family
287	bennard-stark-elric-stark	1	0	0	0	elric-stark	PARENT_OF	Bennard Stark → Elric Stark
